,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
3189,чикаго,123.0,1.0,223.0,264.0,56.0,38.0,50.0,625.0,32.0,21.0,182.0,244.0,216.0,223.0,5.0,53.0,31.0,6.0,31.0,22.0,3.0,56.0,2.0,3.0,68.0,30.0,212.0,259.0,42.0,1372.0,79.0,263.0,6.0,32.0,29.0,62.0,7.0,48.0,5019.0
4902,автокефалия,175.0,0.0,0.0,163.0,94.0,0.0,102.0,320.0,21.0,0.0,238.0,388.0,210.0,159.0,0.0,2.0,15.0,0.0,0.0,168.0,0.0,47.0,2.0,2.0,122.0,0.0,1430.0,114.0,264.0,0.0,106.0,599.0,1.0,129.0,19.0,16.0,0.0,99.0,5005.0
4530,гост,170.0,1.0,0.0,647.0,49.0,0.0,140.0,181.0,30.0,3.0,190.0,453.0,773.0,159.0,3.0,24.0,92.0,107.0,16.0,22.0,0.0,95.0,0.0,3.0,183.0,6.0,265.0,516.0,194.0,0.0,7.0,357.0,3.0,23.0,9.0,54.0,149.0,69.0,4993.0
734,ковальчук,111.0,0.0,361.0,376.0,100.0,147.0,73.0,789.0,7.0,2.0,248.0,229.0,411.0,172.0,12.0,52.0,56.0,9.0,0.0,51.0,0.0,27.0,0.0,1.0,60.0,0.0,132.0,340.0,98.0,730.0,76.0,94.0,31.0,56.0,66.0,52.0,1.0,20.0,4990.0
4914,газпромбанк,24.0,0.0,0.0,1392.0,46.0,0.0,141.0,79.0,9.0,0.0,511.0,220.0,166.0,143.0,2.0,17.0,6.0,6.0,0.0,48.0,0.0,37.0,0.0,0.0,379.0,0.0,212.0,86.0,38.0,19.0,19.0,499.0,66.0,0.0,52.0,757.0,1.0,12.0,4987.0
1856,львов,247.0,0.0,88.0,173.0,100.0,10.0,71.0,508.0,29.0,11.0,249.0,334.0,571.0,238.0,7.0,27.0,125.0,30.0,1.0,60.0,3.0,80.0,0.0,7.0,104.0,4.0,613.0,229.0,266.0,25.0,238.0,235.0,0.0,77.0,18.0,50.0,2.0,153.0,4983.0
38,пелось,127.0,0.0,0.0,319.0,173.0,0.0,30.0,603.0,20.0,0.0,431.0,285.0,117.0,76.0,4.0,54.0,93.0,0.0,0.0,64.0,0.0,77.0,0.0,10.0,236.0,0.0,450.0,210.0,492.0,0.0,195.0,649.0,3.0,79.0,72.0,64.0,0.0,45.0,4978.0
5919,рсфср,218.0,0.0,0.0,432.0,111.0,0.0,44.0,501.0,22.0,2.0,209.0,303.0,502.0,125.0,28.0,23.0,115.0,203.0,1.0,85.0,0.0,58.0,0.0,3.0,138.0,0.0,506.0,302.0,163.0,4.0,61.0,562.0,2.0,65.0,23.0,44.0,2.0,117.0,4974.0
1288,альберт,155.0,1.0,82.0,920.0,63.0,13.0,55.0,231.0,13.0,22.0,181.0,222.0,804.0,115.0,32.0,107.0,95.0,34.0,12.0,56.0,9.0,38.0,14.0,5.0,155.0,6.0,268.0,370.0,54.0,106.0,148.0,356.0,4.0,42.0,40.0,85.0,6.0,52.0,4971.0
5070,малышев,249.0,0.0,18.0,558.0,55.0,0.0,27.0,548.0,57.0,0.0,78.0,122.0,1050.0,425.0,60.0,43.0,166.0,45.0,0.0,54.0,0.0,43.0,0.0,2.0,125.0,0.0,395.0,216.0,158.0,14.0,27.0,224.0,12.0,39.0,64.0,49.0,1.0,42.0,4966.0
