,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda
24,Моррисон,4.951107810372571e-05,,,2.4876550120029354e-05,,,,0.00010175328741390107,,,0.00012786361214704316,0.00014006474103585658,1.7428130745836856e-05,3.536380514543365e-05,,5.9883825378765195e-05,4.994755506717946e-05,,,6.667111140742716e-05,,,,,7.096392667060911e-05,,0.0001033584609236112,7.125146065494343e-05,7.362995687388241e-05,,,0.00012595664068601022,,,0.0010921501706484642,,,
25,Член,0.0006188884762965714,,0.0005098572399728076,0.0021020684851424803,0.0002015316404675534,0.0008164931618697694,0.0007046223224351747,0.0009862241703193489,0.0006733251038042867,0.002044989775051125,0.0004262120404901438,0.00034238047808764937,0.00040084700715424765,0.00042436566174520383,0.0006036824630244491,0.00011976765075753039,0.0008491084361420509,6.671114076050699e-05,,0.0006000400026668443,,4.117683391324041e-05,,,0.00047309284447072733,,0.00026873199840138915,0.00021375438196483032,0.0004207426107078994,0.00030454187450774483,0.0003500175008750437,0.0002418367501171397,,0.0001048474469646664,0.00040955631399317407,0.00041017227235438887,,8.96807365777831e-05
26,Зампред,0.00017328877336304,,,0.0006592285781807779,5.038291011688835e-05,,,0.0001643706950532248,0.00033666255190214334,,0.00014917421417155036,0.00014006474103585658,5.2284392237510575e-05,7.07276102908673e-05,0.0003018412315122245,,0.00019979022026871785,,,0.00013334222281485432,,4.117683391324041e-05,,,7.096392667060911e-05,,4.823394843101856e-05,0.00012825262917889817,0.00011570421794467236,2.1002887897085848e-05,,3.526785939208287e-05,,,0.000273037542662116,0.0002343841556310793,,2.9893578859261028e-05
27,Светлов,,,,,,0.0008164931618697694,,2.3481527864746398e-05,,,,,4.357032686459214e-05,,0.0001006137438374082,,,,,,0.008298755186721992,4.117683391324041e-05,,,,,4.134338436944448e-05,7.125146065494343e-05,2.103713053539497e-05,0.0008821212916776057,8.750437521876094e-05,,,,,,,
28,Шлосберг,,,,7.462965036008807e-05,0.0002015316404675534,,0.00014092446448703494,7.827175954915466e-06,,,6.393180607352158e-05,,,,0.0004024549753496328,0.00017965147613629558,,,,0.0006667111140742716,,,,,,,,,,,0.00017500875043752187,,,,0.000273037542662116,0.00011719207781553967,,
29,Ризнич,,,,,,,,,,,,,,,,,,,,0.0006000400026668443,,,,,,,,,,,,,,,,,,
30,Пятов,2.4755539051862852e-05,,,4.975310024005871e-05,,,,,,,3.196590303676079e-05,,8.714065372918428e-06,,,,,0.001045141205247943,,,,,,,4.730928444707274e-05,,,1.4250292130988685e-05,,,,2.519132813720205e-05,,,,,,
31,Леджер,,,,,,,,7.827175954915466e-06,,,,,,,,,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,
32,Пахноцкий,4.951107810372571e-05,,0.0009347382732834807,,,,,0.00029743268628678774,0.0004488834025361913,,2.1310602024507192e-05,6.225099601593625e-05,1.7428130745836856e-05,0.0001414552205817346,,,,2.2237046920169e-05,,0.00013334222281485432,,8.235366782648082e-05,,,,,,,7.362995687388241e-05,0.0002100288789708585,,,,,,,,
33,Представитель,0.002203242975615794,,8.49762066621346e-05,0.002487655012002936,0.0008565094719871018,0.0004082465809348847,0.002536640360766629,0.001510644959298685,0.002356637863315004,0.0010224948875255623,0.002131060202450719,0.0012761454183266932,0.0007232674259522295,0.002210237821589603,0.0018110473890733476,0.0013174441583328346,0.0012237150991458966,0.000355792750722704,,0.0009333955597039805,,0.003664738218278397,,,0.0037847427557658186,,0.0019155768091175945,0.0006412631458944907,0.0006942253076680341,0.0006090837490154898,0.0009625481274063703,0.0016626276570553351,0.005166475315729047,0.0003844406388704435,0.0030034129692832765,0.006093988046408063,0.001769911504424779,0.0008968073657778309
34,Киркоров,0.0005198663200891199,,,0.00012438275060014676,,,0.00014092446448703494,0.0007905447714464622,0.00033666255190214334,,2.1310602024507192e-05,0.00015562749003984066,0.0008714065372918428,0.00021218283087260192,,0.00023953530151506078,0.0008491084361420509,,,,,0.002882378373926829,,,7.096392667060911e-05,,0.00015159240935462976,0.0002280046740958189,7.362995687388241e-05,2.1002887897085848e-05,,3.0229593764642463e-05,,6.989829797644427e-05,,,,0.00026904220973334933
