,person,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
462,Спортсменка,4.951107810372571e-05,0.0,0.0011896668932698845,0.0,0.0,0.0,0.0,0.00029743268628678774,0.0,0.0,0.0,0.0,5.2284392237510575e-05,0.00021218283087260192,0.0,0.0,0.0,4.4474093840338e-05,0.0,0.0,0.0,4.117683391324041e-05,0.0,0.0,0.0,0.0,0.0,1.4250292130988685e-05,0.0,0.0,8.750437521876094e-05,1.007653125488082e-05,0.0,0.0,0.000136518771331058,0.0,0.0,0.0,0.0021350787784597774
131,Шварценеггер,2.4755539051862852e-05,0.0,8.49762066621346e-05,0.0,0.00015114873035066505,0.0,0.0,0.00011740763932373201,0.0,0.0,4.2621204049014384e-05,6.225099601593625e-05,3.485626149167371e-05,7.07276102908673e-05,0.0,0.0,0.0,0.0,0.0,0.00026668444562970864,0.0,0.00012353050173972123,0.0,0.0,4.730928444707274e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.519132813720205e-05,0.0,0.0,0.000136518771331058,0.0,0.0008849557522123895,5.9787157718522055e-05,0.0021327214284515604
1055,Орхан,0.0,0.0,0.0,2.4876550120029354e-05,0.0002015316404675534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.989511013435893e-05,0.0,0.0,0.0,0.0,0.0,0.0017152658662092624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.750437521876094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002129073542149965
547,Кинокритик,0.0,0.0,0.0,0.00154234610744182,0.00030229746070133015,0.0,0.0,0.0,0.0,0.0,0.0,1.5562749003984063e-05,8.714065372918428e-06,0.0,0.0,0.00023953530151506078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5114796882321231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0021235704809174348
97,Царь,9.902215620745142e-05,0.0,0.0,7.462965036008807e-05,0.0,0.0,0.0,1.5654351909830933e-05,0.0,0.0,0.0,3.112549800796813e-05,1.7428130745836856e-05,3.536380514543365e-05,0.0,0.0,4.994755506717946e-05,0.0,0.0,0.0,0.0,0.0,0.0017152658662092624,0.0,0.0,0.0,0.0,5.700116852395474e-05,2.103713053539497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021164753127124007
357,Конь,4.951107810372571e-05,0.0,0.0,0.0,0.0002015316404675534,0.0,0.0,0.0,0.0,0.0,0.0,1.5562749003984063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.890564061574081e-06,1.4250292130988685e-05,0.0,4.2005775794171696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001769911504424779,0.0,0.0020996636039867767
327,Лапочкин,0.0,0.0,0.0,0.0,0.0,0.0020412329046744235,0.0,1.5654351909830933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2005775794171696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020988930323784264
846,Росберг,0.0,0.0,0.0009347382732834807,0.0,0.0,0.0,0.0,7.827175954915466e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011551588343397218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002097724283578118
289,Плеханов,0.00017328877336304,0.0,0.0,0.0001616975757801908,0.0,0.0,0.0,7.044458359423921e-05,0.0,0.0,0.0,6.225099601593625e-05,3.485626149167371e-05,5.304570771815047e-05,0.0001006137438374082,0.0,9.989511013435893e-05,2.2237046920169e-05,0.0,0.0,0.0,0.0004117683391324041,0.0,0.0,2.365464222353637e-05,0.0,4.134338436944448e-05,9.97520449169208e-05,0.0006416324813295468,0.0,0.0,3.526785939208287e-05,0.0,0.0,0.0,0.0,0.0,5.9787157718522055e-05,0.002091535707937624
800,Паттерсон,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001122208506340478,0.0,2.1310602024507192e-05,0.0,0.0,8.840951286358412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.890564061574081e-06,1.4250292130988685e-05,2.103713053539497e-05,4.2005775794171696e-05,0.0,1.5114796882321231e-05,0.0,0.0,0.0,0.0,0.001769911504424779,0.0,0.002091151029351369
